Time,Module_Stirring,Module_Dosing,Module_Heating,Module_HC10_Y22,Module_HC10_Y21,Module_HC10_Y20,Module_HC10_Y17,Module_HC10_N13,Module_HC10_N12,Module_Agitator,Module_HC10_T15_1,Module_HeatingTank,Module_Tank,Module_HC10_T15,Module_HC10_T10,Module_HC10_L11,Module_HC10_F16,HC20HC40_Stirring,HC20HC40_TransportHC20,HC20HC40_Storage,HC20HC40_TransportHC40,HC20HC40_HC20N12,HC20HC40_HC20Y14,HC20HC40_HC20Y15,HC20HC40_HC20Y18,HC20HC40_HC20Y17,HC20HC40_FIHC20F13,HC20HC40_HC20Y16,HC20HC40_YXHC20Y16_1,HC20HC40_LIHC20L10,HC20HC40_HC20N11,HC20HC40_HC40Y18,HC20HC40_FIHC40F17,HC20HC40_HC40N14,HC20HC40_HC40Y13,HC20HC40_HC40Y16,HC20HC40_FIHC40F15,HC20HC40_LIHC40L10,HC20HC40_LIHC40L11,HC20HC40_LBHC40L12,HC20HC40_Stirring,HC20HC40_TransportHC20,HC20HC40_Storage,HC20HC40_TransportHC40
Tue Aug 12 16:28:08 2025,Idle,Idle,Idle,False,False,False,0.0,0,0,0,1.0,False,False,24.010000228881836,23.821752548217773,36.900001525878906,0.0,Execute,Idle,Not used,Not used,0,0.0,False,False,False,0.08165311813354492,False,False,334.54669189453125,1,0.0,0.0,0,False,0.0,0.0,25.584924697875977,11669.0,False,Execute,Idle,Not used,Not used
Tue Aug 12 16:28:41 2025,Idle,Idle,Idle,False,False,False,0.0,0,0,0,1.0,False,False,24.010000228881836,23.821733474731445,36.599998474121094,0.0,Idle,Execute,Not used,Not used,1,52.60000991821289,False,False,True,0.2639331817626953,False,False,334.58331298828125,0,0.0,0.0,0,False,0.0,0.0,25.591705322265625,11669.0,False,Idle,Execute,Not used,Not used
Tue Aug 12 16:29:23 2025,Idle,Idle,Execute,False,False,False,0.0,0,0,0,1.0,False,False,24.010000228881836,23.832271575927734,36.79999923706055,0.0,Idle,Idle,Not used,Not used,0,0.0,False,False,False,0.10314655303955078,False,False,334.711669921875,0,0.0,0.0,0,False,0.0,0.0,25.58958625793457,11669.0,False,Idle,Idle,Not used,Not used
